Role,RoleCMDLet,Parameters
"Distribution Groups","Set-DynamicDistributionGroup","AcceptMessagesOnlyFrom;AcceptMessagesOnlyFromDLMembers;AcceptMessagesOnlyFromSendersOrMembers;Alias;BypassModerationFromSendersOrMembers;ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;CustomAttribute1;CustomAttribute10;CustomAttribute11;CustomAttribute12;CustomAttribute13;CustomAttribute14;CustomAttribute15;CustomAttribute2;CustomAttribute3;CustomAttribute4;CustomAttribute5;CustomAttribute6;CustomAttribute7;CustomAttribute8;CustomAttribute9;Debug;DisplayName;DomainController;EmailAddresses;EmailAddressPolicyEnabled;ErrorAction;ErrorVariable;ExpansionServer;ExtensionCustomAttribute1;ExtensionCustomAttribute2;ExtensionCustomAttribute3;ExtensionCustomAttribute4;ExtensionCustomAttribute5;ForceUpgrade;GrantSendOnBehalfTo;HiddenFromAddressListsEnabled;Identity;IgnoreDefaultScope;IncludedRecipients;MailTip;MailTipTranslations;ManagedBy;MaxReceiveSize;MaxSendSize;ModeratedBy;ModerationEnabled;Name;Notes;OutBuffer;OutVariable;PhoneticDisplayName;PrimarySmtpAddress;RecipientContainer;RecipientFilter;RejectMessagesFrom;RejectMessagesFromDLMembers;RejectMessagesFromSendersOrMembers;ReportToManagerEnabled;ReportToOriginatorEnabled;RequireSenderAuthenticationEnabled;SendModerationNotifications;SendOofMessageToOriginatorEnabled;SimpleDisplayName;Verbose;WarningAction;WarningVariable;WhatIf;WindowsEmailAddress"
"Distribution Groups","Set-DistributionGroup","AcceptMessagesOnlyFrom;AcceptMessagesOnlyFromDLMembers;AcceptMessagesOnlyFromSendersOrMembers;Alias;BypassModerationFromSendersOrMembers;BypassNestedModerationEnabled;Confirm;CustomAttribute1;CustomAttribute10;CustomAttribute11;CustomAttribute12;CustomAttribute13;CustomAttribute14;CustomAttribute15;CustomAttribute2;CustomAttribute3;CustomAttribute4;CustomAttribute5;CustomAttribute6;CustomAttribute7;CustomAttribute8;CustomAttribute9;Debug;DisplayName;DomainController;EmailAddresses;EmailAddressPolicyEnabled;ErrorAction;ErrorVariable;ExpansionServer;ExtensionCustomAttribute1;ExtensionCustomAttribute2;ExtensionCustomAttribute3;ExtensionCustomAttribute4;ExtensionCustomAttribute5;ForceUpgrade;GrantSendOnBehalfTo;HiddenFromAddressListsEnabled;Identity;IgnoreDefaultScope;IgnoreNamingPolicy;MailTip;MailTipTranslations;ManagedBy;MaxReceiveSize;MaxSendSize;MemberDepartRestriction;MemberJoinRestriction;ModeratedBy;ModerationEnabled;Name;OutBuffer;OutVariable;PrimarySmtpAddress;RejectMessagesFrom;RejectMessagesFromDLMembers;RejectMessagesFromSendersOrMembers;ReportToManagerEnabled;ReportToOriginatorEnabled;RequireSenderAuthenticationEnabled;RoomList;SamAccountName;SendModerationNotifications;SendOofMessageToOriginatorEnabled;SimpleDisplayName;Verbose;WarningAction;WarningVariable;WhatIf;WindowsEmailAddress"
"Distribution Groups","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Update-DistributionGroupMember","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Members;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Set-OrganizationConfig","DistributionGroupDefaultOU;DistributionGroupNameBlockedWordsList;DistributionGroupNamingPolicy;HierarchicalAddressBookRoot"
"Distribution Groups","Set-Group","Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;IsHierarchicalGroup;ManagedBy;Name;Notes;OutBuffer;OutVariable;PhoneticDisplayName;SeniorityIndex;SimpleDisplayName;Universal;Verbose;WarningAction;WarningVariable;WhatIf;WindowsEmailAddress"
"Distribution Groups","Set-ADServerSettings","ConfigurationDomainController;Confirm;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;PreferredGlobalCatalog;PreferredServer;RecipientViewRoot;RunspaceServerSettings;SetPreferredDomainControllers;Verbose;ViewEntireForest;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Remove-DynamicDistributionGroup","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Remove-DistributionGroupMember","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Member;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Remove-DistributionGroup","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","New-DynamicDistributionGroup","Alias;ArbitrationMailbox;ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;IncludedRecipients;ModeratedBy;ModerationEnabled;Name;OrganizationalUnit;OutBuffer;OutVariable;PrimarySmtpAddress;RecipientContainer;RecipientFilter;SendModerationNotifications;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Get-ResourceConfig","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Get-MailUser","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Get-Group","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Get-DistributionGroupMember","Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Get-DistributionGroup","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;ManagedBy;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Get-AcceptedDomain","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Get-ADServerSettings","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Distribution Groups","Enable-DistributionGroup","Alias;Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;PrimarySmtpAddress;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Disable-DistributionGroup","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Distribution Groups","Add-DistributionGroupMember","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Member;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","Test-Message","Arbitration;Confirm;Debug;DeliverMessage;ErrorAction;ErrorVariable;HubFqdn;InboxRules;JunkMail;MessageFileData;Options;OutBuffer;OutVariable;Priority;Recipients;Scl;Sender;SendReportTo;TransportRules;UnifiedDLPRules;Verbose;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","Get-CalendarDiagnosticLog","Credential;Debug;DomainController;EndDate;EntryId;ErrorAction;ErrorVariable;ExactMatch;Identity;ItemClass;ItemIds;Latest;LogLocation;MeetingId;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;StartDate;Subject;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-InboxRule","IncludeHidden;SweepRules"
"Support Diagnostics","Start-AuditAssistant","Identity"
"Support Diagnostics","Get-UnifiedAuditSetting","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable"
"Support Diagnostics","Set-UnifiedAuditSetting","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-DatabaseEvent","CopyOnServer;Debug;DomainController;ErrorAction;ErrorVariable;EventNames;Identity;IncludeMoveDestinationEvents;IncludePassive;MailboxGuid;OutBuffer;OutVariable;ResultSize;Server;StartCounter;StopCounter;Verbose"
"Support Diagnostics","Repair-Migration","ApplyFlags;BatchId;CacheEntry;ClearFlags;ClearPoisonCount;Confirm;Debug;EndpointId;ErrorAction;ErrorVariable;FlushSubscription;FolderId;Force;OutBuffer;OutVariable;Remove;RemoveSyncSubscription;ReportId;ResumeSubscription;Revert;State;Status;SyncSubscription;Update;UpdateSyncSubscription;UpgradeConstraint;UserId;Verbose;WarningAction;WarningVariable;WhatIf;WorkflowStage;WorkflowStep"
"Support Diagnostics","Get-DatabaseEventWatermark","ConsumerGuid;CopyOnServer;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludePassive;MailboxGuid;OutBuffer;OutVariable;ResultSize;Server;Verbose"
"Support Diagnostics","Get-ExchangeDiagnosticInfo","Argument;AsJob;Component;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Process;Server;Unlimited;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Set-SearchDocumentFormat","Confirm;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","Get-FolderRestriction","Database;Debug;DomainController;ErrorAction;ErrorVariable;FolderEntryId;MailboxGuid;OutBuffer;OutVariable;Verbose"
"Support Diagnostics","Remove-SearchDocumentFormat","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","New-SearchDocumentFormat","Confirm;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Extension;Identity;MimeType;Name;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","Get-StoreUsageStatistics","CopyOnServer;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IncludePassive;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-SettingOverride","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-SearchDocumentFormat","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-QueueDigest","Dag;Debug;DetailsLevel;ErrorAction;ErrorVariable;Filter;Forest;GroupBy;OutBuffer;OutVariable;ResultSize;Server;Site;Timeout;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-Mailbox","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-FailedContentIndexDocuments","Archive;Confirm;Debug;DomainController;EndDate;ErrorAction;ErrorCode;ErrorVariable;FailureMode;Identity;MailboxDatabase;OutBuffer;OutVariable;ResultSize;Server;StartDate;Verbose;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","Get-WebDnsRecord","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Thumbprint;Verbose"
"Support Diagnostics","Get-CalendarDiagnosticAnalysis","CalendarLogs;Credential;Debug;DetailLevel;DomainController;ErrorAction;ErrorVariable;GlobalObjectId;LogLocation;OutBuffer;OutputAs;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-AgentLog","Debug;EndDate;ErrorAction;ErrorVariable;Location;OutBuffer;OutVariable;StartDate;TransportService;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-CalendarValidationResult","ErrorAction;ErrorVariable;FailureCategoryType;Identity;IncludeAnalysis;IntervalEndDate;IntervalStartDate;Location;MaxThreads;MeetingID;OnlyReportErrors;OutBuffer;OutVariable;Subject"
"Support Diagnostics","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","Set-ADServerSettings","ConfigurationDomainController;Confirm;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;PreferredGlobalCatalog;PreferredServer;RecipientViewRoot;RunspaceServerSettings;SetPreferredDomainControllers;Verbose;ViewEntireForest;WarningAction;WarningVariable;WhatIf"
"Support Diagnostics","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Get-ADServerSettings","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Support Diagnostics","Export-MailboxDiagnosticLogs","Archive;ComponentName;Confirm;Credential;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProperties;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folder Replication","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folder Replication","Suspend-PublicFolderReplication","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folder Replication","Set-PublicFolder","Confirm;Debug;DomainController;EformsLocaleId;ErrorAction;ErrorVariable;Identity;LocalReplicaAgeLimit;OutBuffer;OutVariable;Replicas;ReplicationSchedule;WarningAction;WarningVariable;WhatIf"
"Public Folder Replication","Resume-PublicFolderReplication","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folder Replication","Get-PublicFolder","Debug;DomainController;ErrorAction;ErrorVariable;GetChildren;Identity;OutBuffer;OutVariable;Recurse;ResultSize;Server;Verbose;WarningAction;WarningVariable"
"Public Folder Replication","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Public Folder Replication","Get-ADServerSettings","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Monitoring","Get-ADServerSettings","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Monitoring","Get-MailboxDatabase","Debug;DomainController;DumpsterStatistics;ErrorAction;ErrorVariable;Identity;IncludeCorrupted;IncludePreExchange2010;IncludePreExchange2013;OutBuffer;OutVariable;Server;Status;Verbose;WarningAction;WarningVariable"
"Monitoring","Test-ReplicationHealth","ActiveDirectoryTimeout;Confirm;DatabaseAvailabilityGroup;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MonitoringContext;OutBuffer;OutputObjects;OutVariable;TransientEventSuppressionWindow;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Get-PublicFolderDatabase","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeCorrupted;IncludePreExchange2010;OutBuffer;OutVariable;Server;Status;Verbose;WarningAction;WarningVariable"
"Monitoring","Test-MLBHealth","CentralServer;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MonitoringContext;OutBuffer;OutVariable;RemoteServer;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Get-Recipient","Anr;BookmarkDisplayName;Credential;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;IncludeBookmarkObject;IncludeSoftDeletedRecipients;OrganizationalUnit;OutBuffer;OutVariable;Properties;PropertySet;ReadFromDomainController;RecipientPreviewFilter;RecipientType;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Monitoring","Get-UnifiedAuditSetting","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable"
"Monitoring","Start-AuditAssistant","BacklogAssistant;ExpectedFoldersCount;FolderTimeRangeSpecifierUTC;Identity"
"Monitoring","Get-ClientAccessService","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Monitoring","Set-UnifiedAuditSetting","AlternativeTenantId;Debug;ErrorAction;ErrorVariable;Identity;IngestionEnabled;LoadBalancerCount;OutBuffer;OutVariable;RefreshInterval;RetentionDays;Verbose;WarningAction;WarningVariable"
"Monitoring","Get-Mailbox","Anr;Arbitration;Archive;AuditLog;AuxAuditLog;Credential;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;Migration;Monitoring;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;RemoteArchive;ResultSize;Server;SortBy;SupervisoryReviewPolicy;Verbose;WarningAction;WarningVariable"
"Monitoring","Test-OAuthConnectivity","AppOnly;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Mailbox;OutBuffer;OutVariable;ReloadConfig;Service;TargetUri;UseCachedToken;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Reset-ProvisioningCache","Application;CacheKeys;Confirm;CurrentOrganization;Debug;ErrorAction;ErrorVariable;GlobalCache;Organizations;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Remove-SearchDocumentFormat","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-MAPIConnectivity","ActiveDirectoryTimeout;AllConnectionsTimeout;Archive;Confirm;CopyOnServer;Database;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludePassive;MonitoringContext;OutBuffer;OutVariable;PerConnectionTimeout;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","New-SearchDocumentFormat","Confirm;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Extension;Identity;MimeType;Name;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-OutlookConnectivity","Archive;Confirm;Credential;Debug;ErrorAction;ErrorVariable;GetDefaultsFromAutodiscover;Hostname;Identity;MailboxCredential;MailboxId;MonitoringContext;OutBuffer;OutVariable;ProbeIdentity;Protocol;RpcAuthenticationType;RpcClientAccessServer;RpcProxyAuthenticationType;RpcProxyServer;RpcProxyTestType;RpcTestType;RunFromServerId;TimeOutSeconds;TotalTimeoutInMinutes;TrustAnySslCert;Verbose;WarningAction;WarningVariable;WhatIf;WSTestType"
"Monitoring","Test-AssistantHealth","Confirm;Debug;ErrorAction;ErrorVariable;IncludeCrashDump;MaxProcessingTimeInMinutes;MonitoringContext;OutBuffer;OutVariable;ResolveProblems;ServerName;Verbose;WarningAction;WarningVariable;WatermarkBehindWarningThreholdInMinutes;WhatIf"
"Monitoring","Test-ArchiveConnectivity","Confirm;Debug;ErrorAction;ErrorVariable;IncludeArchiveMRMConfiguration;MessageId;OutBuffer;OutVariable;UserSmtp;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Get-StoreUsageStatistics","CopyOnServer;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IncludePassive;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"Monitoring","Get-SearchDocumentFormat","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"Monitoring","Test-SiteMailbox","BypassOwnerCheck;Confirm;Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;RequestorIdentity;SharePointUrl;UseAppTokenOnly;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Get-FailedContentIndexDocuments","Archive;Confirm;Debug;DomainController;EndDate;ErrorAction;ErrorCode;ErrorVariable;FailureMode;Identity;MailboxDatabase;OutBuffer;OutVariable;ResultSize;Server;StartDate;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Get-ExchangeServerAccessLicenseUser","Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Monitoring","Get-ExchangeServerAccessLicense","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Monitoring","Test-OutlookWebServices","AutoDiscoverServer;ClientAccessServer;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MailboxCredential;MonitoringContext;OutBuffer;OutVariable;TargetAddress;TrustAnySSLCertificate;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Set-SearchDocumentFormat","Confirm;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-UMConnectivity","CallRouter;CertificateThumbprint;Confirm;Debug;DiagDtmfDurationInMilisecs;DiagDtmfSequence;DiagInitialSilenceInMilisecs;DiagInterDtmfDiffGapInMilisecs;DiagInterDtmfGapInMilisecs;DomainController;ErrorAction;ErrorVariable;From;ListenPort;MediaSecured;MonitoringContext;OutBuffer;OutVariable;Phone;PIN;RemotePort;ResetPIN;Secured;Timeout;TUILogon;TUILogonAll;UMDialPlan;UMIPGateway;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-WebServicesConnectivity","AllowUnsecureAccess;AutoDiscoverServer;ClientAccessServer;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;LightMode;MailboxCredential;MailboxServer;MonitoringContext;OutBuffer;OutVariable;ResetTestAccountCredentials;Timeout;TrustAnySSLCertificate;UseAutodiscoverForClientAccessServer;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-MRSHealth","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MaxQueueScanAgeSeconds;MonitoringContext;MRSProxyCredentials;MRSProxyServer;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Dump-ProvisioningCache","Application;CacheKeys;Confirm;CurrentOrganization;Debug;ErrorAction;ErrorVariable;GlobalCache;Organizations;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-SystemHealth","ADCredentials;Analyze;Collect;ConfigurationData;ConfigurationFileLocation;Confirm;Debug;Description;DomainController;DownloadConfigurationUpdates;ErrorAction;ErrorVariable;ExchangeCredentials;Export;GenerateEvents;GenerateSQMData;MaxThreads;MergeFileLocation;OutBuffer;OutData;OutFileLocation;OutVariable;Roles;ScanType;ServerList;Timeout;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-SmtpConnectivity","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MonitoringContext;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-ServiceHealth","ActiveDirectoryTimeout;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;MonitoringContext;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-SenderId","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;HelloDomain;IPAddress;OutBuffer;OutVariable;PurportedResponsibleDomain;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-PowerShellConnectivity","Authentication;ClientAccessServer;Confirm;ConnectionUri;Debug;DomainController;ErrorAction;ErrorVariable;MailboxServer;MonitoringContext;OutBuffer;OutVariable;ResetTestAccountCredentials;TestCredential;TestType;TrustAnySSLCertificate;Verbose;VirtualDirectoryName;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-PopConnectivity","ClientAccessServer;Confirm;ConnectionType;Debug;DomainController;ErrorAction;ErrorVariable;LightMode;MailboxCredential;MailboxServer;MonitoringContext;OutBuffer;OutVariable;PerConnectionTimeout;PortClientAccessServer;ResetTestAccountCredentials;Timeout;TrustAnySSLCertificate;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-OwaConnectivity","AllowUnsecureAccess;ClientAccessServer;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;LightMode;MailboxCredential;MailboxServer;MonitoringContext;OutBuffer;OutVariable;ResetTestAccountCredentials;RSTEndPoint;TestType;Timeout;TrustAnySSLCertificate;URL;Verbose;VirtualDirectoryName;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-OrganizationRelationship","Confirm;UserIdentity;WhatIf"
"Monitoring","Test-Mailflow","ActiveDirectoryTimeout;AutoDiscoverTargetMailboxServer;Confirm;CrossPremises;CrossPremisesExpirationTimeout;CrossPremisesPendingErrorCount;Debug;DomainController;ErrorAction;ErrorLatency;ErrorVariable;ExecutionTimeout;Identity;MonitoringContext;OutBuffer;OutVariable;TargetDatabase;TargetEmailAddress;TargetEmailAddressDisplayName;TargetMailboxServer;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-ImapConnectivity","ClientAccessServer;Confirm;ConnectionType;Debug;DomainController;ErrorAction;ErrorVariable;LightMode;MailboxCredential;MailboxServer;MonitoringContext;OutBuffer;OutVariable;PerConnectionTimeout;PortClientAccessServer;ResetTestAccountCredentials;Timeout;TrustAnySSLCertificate;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-IRMConfiguration","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Recipient;Sender;Verbose;WarningAction;WarningVariable;WhatIf"
"Monitoring","Test-IPBlockListProvider","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IPAddress;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
