Role,RoleCMDLet,Parameters
"POP3 And IMAP4 Protocols","Get-PopSettings","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"POP3 And IMAP4 Protocols","Get-ImapSettings","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"POP3 And IMAP4 Protocols","Get-ExchangeServer","Debug;Domain;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"POP3 And IMAP4 Protocols","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Transport Queues","Get-Queue","BookmarkIndex;BookmarkObject;Debug;ErrorAction;ErrorVariable;Exclude;Filter;Identity;Include;IncludeBookmark;OutBuffer;OutVariable;ResultSize;ReturnPageInfo;SearchForward;Server;SortOrder;Verbose;WarningAction;WarningVariable"
"Transport Queues","Redirect-Message","Confirm;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Target;Verbose;WarningAction;WarningVariable;WhatIf"
"Transport Queues","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Transport Queues","Suspend-Queue","Confirm;Debug;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Transport Queues","Suspend-Message","Confirm;Debug;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Transport Queues","Retry-Queue","Confirm;Debug;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;Resubmit;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Transport Queues","Resume-Queue","Confirm;Debug;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Transport Queues","Resume-Message","Confirm;Debug;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
